wavelength_nm,ordinary,extraordinary
459,5.0905891561545511E-19,5.1831784089076842E-19
460,5.1591316821555966E-19,5.2136755990769552E-19
461,5.2309925270865851E-19,5.2427286370916524E-19
462,5.3060299182373152E-19,5.2717557907604961E-19
463,5.3817329411877871E-19,5.3028036178678151E-19
464,5.4594640010871029E-19,5.3334186152296091E-19
465,5.5411571193710081E-19,5.3634486519549581E-19
466,5.6270818254111611E-19,5.393493330160786E-19
467,5.714835955383436E-19,5.4248648574934595E-19
468,5.8041207704242266E-19,5.4532364899848574E-19
469,5.8944370600765547E-19,5.4808997660316379E-19
470,5.9865220544492638E-19,5.5095875108446439E-19
471,6.080154152701161E-19,5.5359491918539255E-19
472,6.1761249967049954E-19,5.5616525810251688E-19
473,6.2744630742260988E-19,5.5876911857776456E-19
474,6.3736212242560865E-19,5.611612427006579E-19
475,6.4740053442702771E-19,5.6338584975630388E-19
476,6.5755980440300412E-19,5.6556231829843128E-19
477,6.678696462879744E-19,5.6763753803081347E-19
478,6.7833669549552887E-19,5.6958428672553993E-19
479,6.8908875729694109E-19,5.7148923461936058E-19
480,6.9996859610997553E-19,5.7353642401176244E-19
481,7.1126599589241538E-19,5.7539416748418149E-19
482,7.2297273190773498E-19,5.7690908897437603E-19
483,7.349292801853972E-19,5.7862078436810837E-19
484,7.4727346546926093E-19,5.8043630724709088E-19
485,7.5993077554193012E-19,5.8189392169975522E-19
486,7.728308386230119E-19,5.8315096616721982E-19
487,7.8590316885824159E-19,5.8461024499117752E-19
488,7.9926065433542943E-19,5.858847890172659E-19
489,8.1276192467252389E-19,5.867274589157326E-19
490,8.2629752798575346E-19,5.8764843398961221E-19
491,8.4003581718428225E-19,5.8873677728624801E-19
492,8.5384334358304682E-19,5.8955932831175711E-19
493,8.6777059544968188E-19,5.9025348250090079E-19
494,8.8182125781932028E-19,5.9109462864788648E-19
495,8.9600092260568665E-19,5.9187801327566685E-19
496,9.1043208498396602E-19,5.9248661015846502E-19
497,9.2547935966419335E-19,5.930310888987931E-19
498,9.4075801841244159E-19,5.9370000624752951E-19
499,9.5599740990460722E-19,5.9453077739201685E-19
500,9.7147191670260044E-19,5.9512357065047521E-19
501,9.8722524952411353E-19,5.9573581973710497E-19
502,1.0032788776407779E-18,5.9655279303756135E-19
503,1.0196306873504799E-18,5.9733123976034774E-19
504,1.0361481764664917E-18,5.9784807735776918E-19
505,1.052833732306293E-18,5.9851426316908806E-19
506,1.0697343009533754E-18,5.9947889918190067E-19
507,1.0867212221774454E-18,6.0041460869570425E-19
508,1.1038296011296653E-18,6.0119965356153445E-19
509,1.1209693732557977E-18,6.0201941953068651E-19
510,1.1382596995643829E-18,6.0313233615712321E-19
511,1.1556535854120771E-18,6.0428850069279086E-19
512,1.1728865948489315E-18,6.0527016941972307E-19
513,1.190169064121056E-18,6.0653928726222042E-19
514,1.2075849940179696E-18,6.0808547913966162E-19
515,1.2251821910598311E-18,6.0960509097410178E-19
516,1.2428087071835569E-18,6.1108652050670858E-19
517,1.2605059103715756E-18,6.125855582750881E-19
518,1.2782648131831588E-18,6.1455342856313096E-19
519,1.296131051543818E-18,6.1667418870571163E-19
520,1.314149388743718E-18,6.1864488815585785E-19
521,1.3323640739671358E-18,6.2062262338248706E-19
522,1.3505458104128059E-18,6.2293923235312587E-19
523,1.3686876265255994E-18,6.253615421532465E-19
524,1.3868718083759849E-18,6.2772324643608653E-19
525,1.4053825697633033E-18,6.3016537221734003E-19
526,1.4240000568987948E-18,6.3291466864565099E-19
527,1.4420563446108401E-18,6.3591046736438899E-19
528,1.4598908341662015E-18,6.3858681572879632E-19
529,1.4781758906961883E-18,6.4136682451221066E-19
530,1.4961971239929041E-18,6.4445752205659431E-19
531,1.5132935455255605E-18,6.4749552505760891E-19
532,1.5304700883126036E-18,6.5051478502034277E-19
533,1.5482430052557128E-18,6.5385102419859733E-19
534,1.5656711366550021E-18,6.5716273506861551E-19
535,1.5823688821476514E-18,6.6072610325224522E-19
536,1.5987156034421481E-18,6.6438025558081228E-19
537,1.6148890111613489E-18,6.6774978923839546E-19
538,1.6307927451653434E-18,6.7106161143975798E-19
539,1.6465914329784931E-18,6.7475774020932258E-19
540,1.6621923207674049E-18,6.7869010693816147E-19
541,1.6775583058251841E-18,6.8235514811372879E-19
542,1.6928314692185167E-18,6.858289092446624E-19
543,1.7078105951958392E-18,6.8941940641869064E-19
544,1.7224438820711317E-18,6.9337648719142516E-19
545,1.7367982716541921E-18,6.9753154055024407E-19
546,1.7508674403207067E-18,7.0138611577792705E-19
547,1.7644894413292011E-18,7.0522367601504573E-19
548,1.7777017359971516E-18,7.0912665671319846E-19
549,1.7903973696446036E-18,7.1311259643239454E-19
550,1.8026718979490724E-18,7.1700459792747103E-19
551,1.8145604932490297E-18,7.2072074025452382E-19
552,1.8259760769722573E-18,7.2431798202689468E-19
553,1.8369260338041591E-18,7.2820204486727238E-19
554,1.8474499788567587E-18,7.3231139643101491E-19
555,1.8575687351736392E-18,7.3620893321302617E-19
556,1.8672832260943955E-18,7.3981964696593355E-19
557,1.8766299029630109E-18,7.4342455929223154E-19
558,1.8855696586323372E-18,7.4741486647492332E-19
559,1.8941588553014619E-18,7.5158821522793485E-19
560,1.9025689870318646E-18,7.5564780013234669E-19
561,1.9107615240634356E-18,7.5942542278825861E-19
562,1.9182726050337661E-18,7.6322059739163589E-19
563,1.9253962222773806E-18,7.6712272727081913E-19
564,1.9321957459861145E-18,7.7123537907508013E-19
565,1.9384709311513772E-18,7.7527891412411929E-19
566,1.9442555807432138E-18,7.7890631514099215E-19
567,1.9496428103487486E-18,7.8270796381311509E-19
568,1.9546072610113376E-18,7.8656098884144009E-19
569,1.9589199768899041E-18,7.9055049454585523E-19
570,1.9628254666240762E-18,7.9452572129521253E-19
571,1.9663577993701992E-18,7.98012038331615E-19
572,1.9694878980424373E-18,8.014494572303215E-19
573,1.9721971455342923E-18,8.0534361300549362E-19
574,1.974310092963488E-18,8.0945729368748476E-19
575,1.9761234230012626E-18,8.1348241643913133E-19
576,1.977810936613875E-18,8.1715549608093915E-19
577,1.978907302646311E-18,8.2042668871249313E-19
578,1.9795743782659976E-18,8.2407101240390704E-19
579,1.9800301069024966E-18,8.2819763028208759E-19
580,1.980053703919108E-18,8.3230565318583292E-19
581,1.9797736612331314E-18,8.3594950590332688E-19
582,1.9791685871766806E-18,8.3938261266773857E-19
583,1.9782257364832683E-18,8.4316032281021384E-19
584,1.9769401446716516E-18,8.4716504595097878E-19
585,1.975406074932391E-18,8.5146727115632884E-19
586,1.9735826553153397E-18,8.5540506617347729E-19
587,1.9713849953966663E-18,8.5906305564957364E-19
588,1.9688716352662907E-18,8.6280555894758112E-19
589,1.9662461531672196E-18,8.6679579923011967E-19
590,1.9634340488605976E-18,8.7106185812159357E-19
591,1.9602932445274478E-18,8.7515659145640168E-19
592,1.9566398804470052E-18,8.7907460391293475E-19
593,1.952927326837138E-18,8.8270362178553115E-19
594,1.9489764549044826E-18,8.8653683312627165E-19
595,1.9449287285527619E-18,8.9096853541859902E-19
596,1.940891976730853E-18,8.9507391301330055E-19
597,1.9366227903226069E-18,8.9898350155995391E-19
598,1.9318404453217818E-18,9.032256381244772E-19
599,1.9266728112000949E-18,9.075958761760587E-19
600,1.9213189236546432E-18,9.1204985671826692E-19
601,1.9162286289182613E-18,9.1606065307533355E-19
602,1.9111797663613701E-18,9.2020565665515914E-19
603,1.9059195631238867E-18,9.246312473752934E-19
604,1.9005438266654408E-18,9.292566104639287E-19
605,1.8952018751612652E-18,9.3394921409857036E-19
606,1.8897790681806595E-18,9.3822591752216816E-19
607,1.8840338402924182E-18,9.4250566443710159E-19
608,1.8781506947979096E-18,9.4674062370744057E-19
609,1.8724947106803588E-18,9.5121991854255655E-19
610,1.8669879147645478E-18,9.5613773724739047E-19
611,1.8612605103728105E-18,9.6096962497100082E-19
612,1.855219226641635E-18,9.6542309522896544E-19
613,1.8493210877536471E-18,9.6973104380304233E-19
614,1.8435082245822326E-18,9.7413808471977471E-19
615,1.8377155082916484E-18,9.7869289882682166E-19
616,1.8318594173788923E-18,9.8348110671176057E-19
617,1.8257565432456198E-18,9.8831391146585737E-19
618,1.8195096680648855E-18,9.9283689973058112E-19
619,1.81326717983614E-18,9.9686617785839922E-19
620,1.8070128911198E-18,1.0009397552856466E-18
621,1.8007231255913738E-18,1.0055465469490672E-18
622,1.794440287259205E-18,1.01037356985948E-18
623,1.7881357006421619E-18,1.0153462496054506E-18
624,1.781763055694509E-18,1.02006518764757E-18
625,1.7755611281790554E-18,1.0243415530631295E-18
626,1.7691716625120532E-18,1.0285492064741348E-18
627,1.7626540553068293E-18,1.0330461591674255E-18
628,1.7561533305586475E-18,1.0379418902266408E-18
629,1.7498174734016272E-18,1.0428742685631192E-18
630,1.7434737345753046E-18,1.0474959664353629E-18
631,1.7373092032615083E-18,1.0517103903957452E-18
632,1.7313365017365537E-18,1.0557609312380548E-18
633,1.7253340800724458E-18,1.059943057055541E-18
634,1.7193683130684381E-18,1.0643403370848633E-18
635,1.7134169694640162E-18,1.0690073499861533E-18
636,1.7076345306726646E-18,1.0735029684584502E-18
637,1.70188611850069E-18,1.0777461875088403E-18
638,1.6960025890885043E-18,1.0818017798612846E-18
639,1.6902759367400901E-18,1.0858192592445526E-18
640,1.6847585749637182E-18,1.0898523361742785E-18
641,1.6792189900782638E-18,1.0942106085250365E-18
642,1.6735557709380297E-18,1.0989586593881539E-18
643,1.6679753561852094E-18,1.1033880735689349E-18
644,1.6623866589101427E-18,1.107498279001616E-18
645,1.6568418947782779E-18,1.1114422490756153E-18
646,1.6513647209231327E-18,1.1152537999116037E-18
647,1.6460006750128208E-18,1.1193008635905203E-18
648,1.6406531560653604E-18,1.1236706574361583E-18
649,1.6352749982409738E-18,1.1277666582065099E-18
650,1.6301826192248402E-18,1.1316999841779774E-18
651,1.6250898322184822E-18,1.1355943244082108E-18
652,1.6197134038783971E-18,1.1392645324423455E-18
653,1.6144777864368302E-18,1.1429102645518884E-18
654,1.6097176338712584E-18,1.1467996793989651E-18
655,1.6053131367994041E-18,1.1508218321974952E-18
656,1.6009593636927366E-18,1.1549244113869253E-18
657,1.5962613657694214E-18,1.1588733515769218E-18
658,1.5916326125136023E-18,1.1622974905822016E-18
659,1.5870859519821832E-18,1.1654312583905539E-18
660,1.5825666842768052E-18,1.1686070604442967E-18
661,1.5780819402196413E-18,1.171999592189948E-18
662,1.573685270213872E-18,1.1756620826953555E-18
663,1.5695566806818621E-18,1.1794386057556081E-18
664,1.5654372244643476E-18,1.1828269868692765E-18
665,1.5612731761754181E-18,1.1860349570345567E-18
666,1.5571030043247014E-18,1.1891672794881917E-18
667,1.5529500707396382E-18,1.1922403395508791E-18
668,1.5488846822945378E-18,1.1954891235212899E-18
669,1.544885135922848E-18,1.1987769748161169E-18
670,1.540985072237893E-18,1.2019935811970953E-18
671,1.5371611316066152E-18,1.2049806030993906E-18
672,1.5333725418345628E-18,1.2076514096126887E-18
673,1.5294990457161513E-18,1.2100450771674308E-18
674,1.5254926376661616E-18,1.2125553572220013E-18
675,1.5215911845548084E-18,1.2149709075738077E-18
676,1.5178209157588606E-18,1.2175974126685328E-18
677,1.5141971594983927E-18,1.2204744110294615E-18
678,1.5105413552071663E-18,1.2231253286218283E-18
679,1.5067138732013457E-18,1.2254334883143552E-18
680,1.5028068919822389E-18,1.2275137526087232E-18
681,1.4989686055869185E-18,1.2293241440824908E-18
682,1.4950673336085831E-18,1.2310267259652799E-18
683,1.4909890623311775E-18,1.2331154791164074E-18
684,1.4870230442796483E-18,1.2354309110093043E-18
685,1.4831480345659194E-18,1.2376229537590405E-18
686,1.4793400598026481E-18,1.2395540215043551E-18
687,1.4753262654989234E-18,1.241051160507286E-18
688,1.4712317791065908E-18,1.242242528313911E-18
689,1.4672602882859198E-18,1.2434060971123643E-18
690,1.4632090107856032E-18,1.2446306787983897E-18
691,1.4592956014838506E-18,1.2459847460089303E-18
692,1.4555129131420433E-18,1.2475766483759249E-18
693,1.4513740405552402E-18,1.2491513163158115E-18
694,1.4471426209527838E-18,1.2505304130931781E-18
695,1.4430327090112551E-18,1.2513825562284856E-18
696,1.4389711515629191E-18,1.2519204168947779E-18
697,1.434996366499639E-18,1.2522422960561465E-18
698,1.4309448062668108E-18,1.2525898966762151E-18
699,1.4267615811167824E-18,1.2532385669586892E-18
700,1.4224758392591284E-18,1.2540376184480273E-18
701,1.4182645802551334E-18,1.2549263931486135E-18
702,1.4140788402075078E-18,1.2555630266015515E-18
703,1.409840820792761E-18,1.2556513516833072E-18
704,1.4055941493923159E-18,1.2554104318215738E-18
705,1.4013120975198698E-18,1.2552702365872758E-18
706,1.3966584026955557E-18,1.2551991380117082E-18
707,1.3919236070412191E-18,1.2550853898339739E-18
708,1.3872970949459537E-18,1.2551397774519343E-18
709,1.3826957270803932E-18,1.2552905079950305E-18
710,1.3781108006600753E-18,1.2550652626185085E-18
711,1.3734905094173131E-18,1.2545309716383133E-18
712,1.3689599476845878E-18,1.2537870238417012E-18
713,1.3642557238462552E-18,1.2527823097705681E-18
714,1.3593408191745725E-18,1.2517146407165334E-18
715,1.3544781890423178E-18,1.2509249245628509E-18
716,1.3496472384819754E-18,1.2503179120986925E-18
717,1.3447134458703143E-18,1.249647375190213E-18
718,1.3398138344642138E-18,1.2487870814680007E-18
719,1.334867245629366E-18,1.2476837835436645E-18
720,1.3296166795968672E-18,1.2462137863520492E-18
721,1.3241616109395113E-18,1.2444018805969116E-18
722,1.3188662992782496E-18,1.2427987548235099E-18
723,1.3136048901527806E-18,1.2412849371511714E-18
724,1.308365988526759E-18,1.2396113756831435E-18
725,1.3031098368650533E-18,1.2381216420666752E-18
726,1.2976176281476831E-18,1.2365467907983129E-18
727,1.2920970947800122E-18,1.2346848702491558E-18
728,1.2865655187807057E-18,1.2327148574553439E-18
729,1.2809511782492899E-18,1.2304705808088002E-18
730,1.275221798184286E-18,1.2278698298046838E-18
731,1.2695524907125266E-18,1.2254453614370176E-18
732,1.2641448246335066E-18,1.2233401605160642E-18
733,1.2586907735402448E-18,1.2211869489182093E-18
734,1.2530344107998726E-18,1.2188281330209397E-18
735,1.2473954544932821E-18,1.2167290495588522E-18
736,1.2416926796443724E-18,1.2147190742967404E-18
737,1.2357937322572667E-18,1.2122095647389706E-18
738,1.2298236882911871E-18,1.209039914216629E-18
739,1.2239086810131411E-18,1.2058598764652554E-18
740,1.2180222717307985E-18,1.2026213106564332E-18
741,1.2121828222776295E-18,1.1993677575792014E-18
742,1.2061176046085337E-18,1.1965162117623466E-18
743,1.1997318021866479E-18,1.1937193062244042E-18
744,1.193381726647735E-18,1.1909050511315526E-18
745,1.1875306042805263E-18,1.1881236959092489E-18
746,1.1817310925963495E-18,1.184995314468071E-18
747,1.175479805288362E-18,1.1813457434335159E-18
748,1.1687434390393383E-18,1.1773352122675684E-18
749,1.1622488849785933E-18,1.1732846402498102E-18
750,1.1565520233353079E-18,1.1697411056552243E-18
751,1.1514617012216258E-18,1.1670210916680482E-18
752,1.1461654647007968E-18,1.1643576162783712E-18
753,1.1400905409242374E-18,1.1609081511231169E-18
754,1.1332978463353065E-18,1.1568276388788279E-18
755,1.1266586246009297E-18,1.1528278828331332E-18
756,1.1205063692985869E-18,1.1488070214600128E-18
757,1.1144652383190378E-18,1.1445407846196337E-18
758,1.1078465394231753E-18,1.1400228787977612E-18
759,1.1012189439720884E-18,1.1355199018343008E-18
760,1.0953326007412433E-18,1.131575208579451E-18
761,1.0893057150813988E-18,1.1277039410715206E-18
762,1.0829213290635625E-18,1.1237862038772123E-18
763,1.0763566753156369E-18,1.1196765463550247E-18
764,1.0699084996532826E-18,1.1153017008514658E-18
765,1.0636071524144931E-18,1.1108274338463427E-18
766,1.0570346055636025E-18,1.1064667248966925E-18
767,1.0499614874505181E-18,1.1017595380847053E-18
768,1.0428047001147126E-18,1.096782270975898E-18
769,1.0360594513153423E-18,1.0920292805017455E-18
770,1.0296834115045785E-18,1.0877357645841716E-18
771,1.0235702675307226E-18,1.0834863826320877E-18
772,1.0174915396533261E-18,1.0788980769618836E-18
773,1.0111112827616502E-18,1.0743240185865158E-18
774,1.0045190421801581E-18,1.0697736544973776E-18
775,9.9802635014326524E-19,1.0650233089206149E-18
776,9.9178811501794267E-19,1.0602736212374956E-18
777,9.8545219423849647E-19,1.0553233807138278E-18
778,9.7910497206172059E-19,1.0503835431900864E-18
779,9.7276610511617416E-19,1.0453763570520301E-18
780,9.6639647982183369E-19,1.0406009318137347E-18
