wavelength_nm,ordinary,extraordinary
612,2.0153324222798648E-20,4.3296262863878297E-21
613,1.8812062648249732E-20,4.0632670295508847E-21
614,1.7471051523604992E-20,3.7969125690483716E-21
615,1.6130296725190073E-20,3.5305630128537009E-21
616,1.5058218402153236E-20,3.5321909686482237E-21
617,1.3986307699286548E-20,3.2658389432732811E-21
618,1.318290333698422E-20,2.9994920885698624E-21
619,1.2111291413738537E-20,3.0010983608160207E-21
620,1.1308110466343937E-20,2.7347494544342171E-21
621,1.0505026405612488E-20,2.736341722821718E-21
622,9.7020406808730479E-21,2.4699910204113252E-21
623,9.1673137572621753E-21,2.4715694800209455E-21
624,8.3644923918915243E-21,2.4731414068954811E-21
625,8.0979813132809755E-21,2.20678207667504E-21
626,7.5633767436238307E-21,2.2083404800039936E-21
627,7.0288139147313749E-21,1.9419799507124157E-21
628,6.494293310111332E-21,1.9435250174583025E-21
629,6.2278386589607929E-21,1.9450637809182679E-21
630,5.6933785165247162E-21,1.9465962848363581E-21
631,5.4269471140818864E-21,1.9481225725934069E-21
632,5.1605213113053197E-21,1.9496426872106557E-21
633,4.8941012100735061E-21,1.6832540792863277E-21
634,4.6276869121071522E-21,1.6847613950921432E-21
635,4.3612785189745009E-21,1.6862626670968504E-21
636,4.362811329296657E-21,1.6877579369020508E-21
637,4.0964022470367169E-21,1.6892472457673776E-21
638,3.8299993164774774E-21,1.6907306346140977E-21
639,3.5636026383841094E-21,1.6922081440283006E-21
640,3.5651095031819767E-21,1.6936798142642503E-21
641,3.566610417409807E-21,1.6951456852476567E-21
642,3.3002070939225163E-21,1.6966057965789877E-21
643,3.3016956629903918E-21,1.6980601875365288E-21
644,3.3031784046226162E-21,1.6995088970797252E-21
645,3.0367688752964678E-21,1.7009519638521086E-21
646,3.0382395193570841E-21,1.7023894261845215E-21
647,2.7718304425547551E-21,1.7038213220982049E-21
648,2.7732891514199115E-21,1.7052476893076635E-21
649,2.5068807478256832E-21,1.7066685652237194E-21
650,2.5083276812323685E-21,1.4401853270140279E-21
651,2.5097690644715397E-21,1.4415947873290551E-21
652,2.5112049349348442E-21,1.4429988689287211E-21
653,2.5126353297148144E-21,1.4443976080238441E-21
654,2.5140602856078367E-21,1.4457910405359616E-21
655,2.5154798391170368E-21,1.4471792021002699E-21
656,2.7847593661233885E-21,1.7164640205137962E-21
657,3.0540482731804423E-21,1.7178422773931957E-21
658,3.5912536330851037E-21,1.9871317809448391E-21
659,3.5926540740430116E-21,2.2564306002727586E-21
660,3.3261411117362827E-21,2.2577945007709894E-21
661,3.0596353939424877E-21,1.7233039710164022E-21
662,2.7931370144907875E-21,1.7246567315686603E-21
663,2.7945151585691375E-21,1.4580989243899729E-21
664,3.0637714425573584E-21,1.4594412051054166E-21
665,3.0651399665989765E-21,1.7286851587379666E-21
666,3.3344012849168806E-21,1.7300181260735558E-21
667,3.6036721291943663E-21,1.7313462267929497E-21
668,3.605026710707573E-21,1.7326694930618199E-21
669,3.6063763638686356E-21,1.7339879567953159E-21
670,3.3398077714023386E-21,1.4673924988380021E-21
671,3.0732467734016461E-21,1.4687009483118246E-21
672,2.806693460853781E-21,1.4700046913816467E-21
673,2.5401479247184111E-21,1.4713037589711896E-21
674,2.541471398254654E-21,1.472598181765216E-21
675,2.5427901419973743E-21,1.7417996422176933E-21
676,2.2762420288975173E-21,1.7430853612680913E-21
677,2.0097019386473169E-21,1.4764538846842576E-21
678,2.0110056690929822E-21,1.4777300304424524E-21
679,2.0123047957902376E-21,1.4790016813218872E-21
680,2.013599348725235E-21,1.4802688666197239E-21
681,2.0148893576551063E-21,1.4815316154090977E-21
682,2.0161748521098785E-21,1.2148883460073594E-21
683,2.0174558613948146E-21,1.2161418236061922E-21
684,1.7508936992097103E-21,1.2173909523237654E-21
685,1.7521653301390915E-21,1.4865388192267519E-21
686,1.7534325642473727E-21,1.4877798138806964E-21
687,1.7546954299490007E-21,1.4890165418787108E-21
688,1.7559539554437212E-21,1.2223445389255113E-21
689,1.7572081687185188E-21,1.223572341795532E-21
690,2.0262997569844221E-21,1.224795961739171E-21
691,3.3669613885226338E-21,1.4939213354601488E-21
692,6.3160961928581544E-21,2.0309901758343132E-21
693,8.7304098787185059E-21,2.0322028046954294E-21
694,8.4634857331290707E-21,1.7654772155346923E-21
695,5.5156882033782374E-21,1.4987600305929409E-21
696,2.8373294757540783E-21,1.4999595744537687E-21
697,2.034934941487208E-21,1.5011551181522998E-21
698,1.7683065532965529E-21,1.5023466872547059E-21
699,1.7695191382109902E-21,1.2356246877129046E-21
700,1.7707277052605958E-21,1.2368079269749595E-21
701,1.7719322800246825E-21,1.2379872687544793E-21
702,1.7731328878935655E-21,1.2391627378581716E-21
703,1.774329554070015E-21,1.2403343589095414E-21
704,1.7755223035710814E-21,1.2415021563507235E-21
705,1.7767111612297371E-21,1.2426661544438497E-21
706,1.7778961516964733E-21,1.2438263772728539E-21
707,1.7790772994408897E-21,1.2449828487448558E-21
708,1.7802546287533335E-21,1.2461355925920435E-21
709,1.7814281637466191E-21,1.2472846323727289E-21
710,1.782597928357247E-21,1.2484299914734276E-21
711,1.7837639463472264E-21,1.2495716931099548E-21
712,1.7849262413057337E-21,1.2507097603291236E-21
713,1.7860848366501558E-21,1.2518442160101965E-21
714,1.787239755628142E-21,1.2529750828662949E-21
715,1.7883910213186505E-21,1.2541023834459675E-21
716,1.7895386566337479E-21,1.2552261401345781E-21
717,1.7906826843198038E-21,1.2563463751555799E-21
718,1.7918231269591565E-21,1.2574631105722346E-21
719,1.5251186771424034E-21,1.258576368288731E-21
720,1.5262515751079149E-21,1.2596861700516901E-21
721,1.5273809562143229E-21,1.2607925374514973E-21
722,1.5285068423926241E-21,1.2618954919238083E-21
723,1.797472343525674E-21,1.2629950547505486E-21
724,1.7985917411000272E-21,1.2640912470615816E-21
725,1.7997077072263272E-21,1.2651840898357738E-21
