wavelength_nm,ordinary,extraordinary
446,1.817693105638231E-20,1.4926712976767157E-20
447,1.9269631070181462E-20,1.5826068376391173E-20
448,2.0488441195376272E-20,1.6763600885368418E-20
449,2.165867388393426E-20,1.7700956486603455E-20
450,2.2443269010569295E-20,1.8544592601779392E-20
451,2.264206920627977E-20,1.9169369467424503E-20
452,2.2373395115942669E-20,1.9468429668985105E-20
453,2.1869223207268847E-20,1.9403977552669184E-20
454,2.1285387523220377E-20,1.9035323861883986E-20
455,2.0708949336424688E-20,1.8486118770224387E-20
456,2.0186236294993347E-20,1.7872923967347322E-20
457,1.9716063296173603E-20,1.7258884004623357E-20
458,1.9243841311832488E-20,1.6644593333957844E-20
459,1.8679881962030362E-20,1.5982866526226446E-20
460,1.7950746194986571E-20,1.5223000690805659E-20
461,1.7045861968162749E-20,1.4344993744735443E-20
462,1.6020456437596364E-20,1.3380171607696125E-20
463,1.4960712453004404E-20,1.2409371520436571E-20
464,1.3945985845636468E-20,1.1507766963142416E-20
465,1.3035232221886369E-20,1.0712746893633312E-20
466,1.2273206290122043E-20,1.0052231043541625E-20
467,1.169077429405723E-20,9.549104902208556E-21
468,1.1276364331831761E-20,9.1844410351430121E-21
469,1.092445600148518E-20,8.8698716124246443E-21
470,1.0479810739507203E-20,8.4841239338554876E-21
471,9.865330066180034E-21,7.9645722472263104E-21
472,9.123244967069882E-21,7.3442764197529596E-21
473,8.3396259206252884E-21,6.6915691080541553E-21
474,7.5719103869840157E-21,6.053828642668789E-21
475,6.8465758474080678E-21,5.4536805511684198E-21
476,6.1785885455318504E-21,4.902549779320388E-21
477,5.5787690581131912E-21,4.4074346379294634E-21
478,5.0493987453087337E-21,3.9709182209668156E-21
479,4.5874696577305312E-21,3.590007361018747E-21
480,4.1876317857372537E-21,3.2596630366906738E-21
481,3.8463046537908611E-21,2.9754419676018864E-21
482,3.5561049762470206E-21,2.7314448834115565E-21
483,3.3090763666337549E-21,2.5220752642972018E-21
484,3.1007909386392422E-21,2.3420378569954824E-21
485,2.926828374107141E-21,2.18780099210677E-21
486,2.7824821605070202E-21,2.0570085322696486E-21
487,2.6642231451530525E-21,1.9470149989915346E-21
488,2.5670622756727089E-21,1.8537148072359444E-21
489,2.4868929493280404E-21,1.7759315080454675E-21
490,2.4225390942579697E-21,1.7116123276406463E-21
491,2.3716548984231561E-21,1.6584134052448692E-21
492,2.3310176545098648E-21,1.6151622447663268E-21
493,2.300040376765534E-21,1.5801020078082668E-21
494,2.2763801915902738E-21,1.5523540325147428E-21
495,2.2591583394211053E-21,1.5304550226930806E-21
496,2.2480817377146179E-21,1.5135270104106626E-21
497,2.2419793318689976E-21,1.5003997302237038E-21
498,2.2408510604861154E-21,1.4899030676904892E-21
499,2.244111529140829E-21,1.4820369439130871E-21
500,2.2502972534858431E-21,1.4759238597876184E-21
501,2.259701070052391E-21,1.4709788372227487E-21
502,2.2720304134096234E-21,1.4680793219017889E-21
503,2.2866999957941808E-21,1.4666403587646322E-21
504,2.3022462753446374E-21,1.4663694851127459E-21
505,2.3189620769578957E-21,1.466974242047046E-21
506,2.3368475012864112E-21,1.4696245964807086E-21
507,2.3541460649368229E-21,1.4734431405905407E-21
508,2.371150508585729E-21,1.4775524465903757E-21
509,2.389031940019063E-21,1.4822450304897551E-21
510,2.4069120794067394E-21,1.4875209238993576E-21
511,2.4239125570937494E-21,1.4930876598764532E-21
512,2.4403261222500533E-21,1.4983602564163633E-21
513,2.457031169585107E-21,1.5033387184811986E-21
514,2.474027732903793E-21,1.508608068533768E-21
515,2.4904373797722731E-21,1.5124132604063442E-21
516,2.5065529101509232E-21,1.5150467847342146E-21
517,2.5226671516342857E-21,1.5170936615173284E-21
518,2.5381944326761764E-21,1.5185538944476865E-21
519,2.5525490309041808E-21,1.519134971416746E-21
520,2.5669023011159772E-21,1.5197144505588473E-21
521,2.5818399754791403E-21,1.5199998260445797E-21
522,2.5953120409512503E-21,1.5191135494146229E-21
523,2.6070255546016368E-21,1.5188107474077258E-21
524,2.6178590646601284E-21,1.5179213538415076E-21
525,2.6281054214225441E-21,1.5164453792207246E-21
526,2.6389361470479285E-21,1.5149678767355129E-21
527,2.6465437321717561E-21,1.5140739010221144E-21
528,2.6500494067909288E-21,1.5120083384611279E-21
529,2.6556038172609105E-21,1.509356243938302E-21
530,2.6617425546618724E-21,1.5067026722574344E-21
531,2.6637792901491631E-21,1.5031700764742912E-21
532,2.6637642557141494E-21,1.4984659570955796E-21
533,2.6655051209470759E-21,1.4931753744019529E-21
534,2.6675374202855425E-21,1.4870058343589572E-21
535,2.6695682684961145E-21,1.4799573656913344E-21
536,2.6707189703142442E-21,1.4723225105181297E-21
537,2.6706966252561001E-21,1.4632237739820259E-21
538,2.670379947030025E-21,1.4529537180302084E-21
539,2.6703547532197764E-21,1.4426823958920566E-21
540,2.6685707274578117E-21,1.4321173231132394E-21
541,2.6656136883320397E-21,1.4206735386350865E-21
542,2.6620694578957818E-21,1.4092285536986901E-21
543,2.6582309532776251E-21,1.3980748631908577E-21
544,2.6529265847163897E-21,1.3869199865827984E-21
545,2.6455705858515729E-21,1.3757639349864929E-21
546,2.6373345948554489E-21,1.3643142480947445E-21
547,2.6290973249506739E-21,1.3522784826163531E-21
548,2.6199801135165044E-21,1.3399491383714858E-21
549,2.6093972202082941E-21,1.3276186975003777E-21
550,2.5991060103285238E-21,1.31557962372489E-21
551,2.589692248299132E-21,1.3029545686838912E-21
552,2.5788128889538072E-21,1.289451128337926E-21
553,2.5673466173951331E-21,1.2753617973340383E-21
554,2.5567578214973476E-21,1.2606866187850304E-21
555,2.5464607452330866E-21,1.245425637407304E-21
556,2.5352839296654352E-21,1.2301637394407285E-21
557,2.5232274167822016E-21,1.2151933495039805E-21
558,2.5114626788080863E-21,1.1990524196418138E-21
559,2.4996968611719811E-21,1.1826182402955976E-21
560,2.4873442751004721E-21,1.1664756309317252E-21
561,2.4744049545238744E-21,1.1503321940654765E-21
562,2.4608789347041585E-21,1.1341879398784776E-21
563,2.4467662522475242E-21,1.1180428784668084E-21
564,2.4317741142086023E-21,1.1021893888426967E-21
565,2.4159025756958254E-21,1.0866274617571964E-21
566,2.3994445147650313E-21,1.0719418017338637E-21
567,2.382399974950508E-21,1.0575476627476811E-21
568,2.3653546173849879E-21,1.0434450368635814E-21
569,2.3483084519261328E-21,1.0290492367423808E-21
570,2.330675895701655E-21,1.0152372908077584E-21
571,2.3127497850924149E-21,1.0017168460333402E-21
572,2.2945301485936432E-21,9.8790324856869536E-22
573,2.2763097922325333E-21,9.7379652406696896E-22
574,2.2583814965570177E-21,9.5998132185513097E-22
575,2.2407452522282101E-21,9.4645763385260903E-22
576,2.2234010500556372E-21,9.3322545221867696E-22
577,2.2066416336559376E-21,9.1999247377694039E-22
578,2.1901742297721615E-21,9.0588183723816336E-22
579,2.1737060888363043E-21,8.9147817057287349E-22
580,2.1572372197632252E-21,8.7707377783957813E-22
581,2.1404749020610646E-21,8.6325321136185753E-22
582,2.1237118856926432E-21,8.4972417856194847E-22
583,2.1063627450552826E-21,8.3677893191049492E-22
584,2.0890129477215649E-21,8.2354067973413242E-22
585,2.0719552070184348E-21,8.103016965672214E-22
586,2.0548968145394341E-21,7.9793872496084812E-22
587,2.035496244048407E-21,7.8732844846424627E-22
588,2.0152170932370286E-21,7.770096123829076E-22
589,1.9958154969289766E-21,7.661055144882452E-22
590,1.9767060599402746E-21,7.5607732767594605E-22
591,1.9564254576321842E-21,7.4750947181900721E-22
592,1.9358517523392337E-21,7.3981745946897717E-22
593,1.9170335052105873E-21,7.3154017664505874E-22
594,1.896166274073824E-21,7.2326207995290312E-22
595,1.8732502328769615E-21,7.1527538823540031E-22
596,1.8526749066855762E-21,7.0758009884529819E-22
597,1.8338548849827942E-21,6.9959179734831433E-22
598,1.8147417841712944E-21,6.918949053556142E-22
599,1.797091244266529E-21,6.8390502064033113E-22
600,1.7820735577085861E-21,6.7591435571688378E-22
601,1.7670552582917164E-21,6.6821511052185359E-22
602,1.7494030919322029E-21,6.6051509179166737E-22
603,1.7323355937495473E-21,6.533986810271104E-22
604,1.7170230182503404E-21,6.4686586785266433E-22
605,1.7017098704249739E-21,6.4004009510524105E-22
606,1.6852259179354185E-21,6.335057366918053E-22
607,1.6684489027632447E-21,6.2667843606499803E-22
608,1.6522564917745585E-21,6.2043473165343292E-22
609,1.6372337368016818E-21,6.1565113445725607E-22
610,1.6225029684784016E-21,6.105745934781394E-22
611,1.6080641766110267E-21,6.0578945931682669E-22
612,1.5933323023696149E-21,6.0129573260328728E-22
613,1.5794774444099446E-21,5.9738558116732154E-22
614,1.567084589610784E-21,5.9464333494721555E-22
615,1.5549836338106712E-21,5.9248465886555057E-22
616,1.541712045046499E-21,5.9032522481186043E-22
617,1.5287323871413534E-21,5.8787287349158477E-22
618,1.5175071261848018E-21,5.8600410439480537E-22
619,1.5059887520607612E-21,5.8384242871997972E-22
620,1.493884797587012E-21,5.8226434342265149E-22
621,1.4835351512058708E-21,5.815620162779077E-22
622,1.4752322273359544E-21,5.8202761888417572E-22
623,1.466636154755219E-21,5.8190817247161127E-22
624,1.4586243674040296E-21,5.8032718391599459E-22
625,1.4517817942503731E-21,5.7845331842123983E-22
626,1.4458159426220615E-21,5.7745523928522057E-22
627,1.4395569323872513E-21,5.764564574440487E-22
628,1.4341746327926911E-21,5.7516481316897934E-22
629,1.429961495753765E-21,5.7387247598365566E-22
630,1.4269175103948349E-21,5.7316377977126012E-22
631,1.4247502097013763E-21,5.7216223567539068E-22
632,1.4225822093201134E-21,5.7057568373699462E-22
633,1.4209984365534818E-21,5.686962941024066E-22
634,1.4199988949888927E-21,5.6827705665796272E-22
635,1.4198760513879064E-21,5.681493201485309E-22
636,1.4203374516977929E-21,5.6802092509737136E-22
637,1.4202132520817545E-21,5.6818404189355535E-22
638,1.4197959177997302E-21,5.6834651020260311E-22
639,1.4196703794881264E-21,5.6880050164472853E-22
640,1.4207140357971939E-21,5.701303592810282E-22
641,1.4217570395988788E-21,5.7175175810973316E-22
642,1.4227993953571755E-21,5.7308036439939993E-22
643,1.4241335747488389E-21,5.7411617902493214E-22
644,1.4257595852389314E-21,5.7544354879660701E-22
645,1.4273849649470781E-21,5.7735465554238575E-22
646,1.4298871310048393E-21,5.8014168788386926E-22
647,1.4323886828400329E-21,5.8263595394824011E-22
648,1.4345971505670056E-21,5.845452735265043E-22
649,1.4382673882516833E-21,5.8703836463860966E-22
650,1.443106951566778E-21,5.8982305856232814E-22
651,1.4470685067686518E-21,5.917306273833415E-22
652,1.4489821099519356E-21,5.9217669284526475E-22
653,1.4514800847850423E-21,5.9262217393835111E-22
654,1.4557323860405421E-21,5.945280068899719E-22
655,1.4620315467957807E-21,5.9643327360506563E-22
656,1.4683301898108756E-21,5.9716922081580719E-22
657,1.4731658453552731E-21,5.9790460067402249E-22
658,1.4774159693139464E-21,5.99223798525431E-22
659,1.4825430466492565E-21,6.0025024847372021E-22
660,1.4879621003611231E-21,6.0069175879393108E-22
661,1.4933806375887421E-21,6.0113271529991447E-22
662,1.4985061547058849E-21,6.018653156272853E-22
663,1.5039236672333919E-21,6.0201298159702586E-22
664,1.5099256997130903E-21,6.0216010353745651E-22
665,1.5150496945663471E-21,6.0318327247578669E-22
666,1.5195881499245723E-21,6.0449810597498915E-22
667,1.5244186155140613E-21,6.0522801651605942E-22
668,1.5295411021789309E-21,6.0508080449516345E-22
669,1.5346630956880703E-21,6.0551746286251365E-22
670,1.5394920716747545E-21,6.0712239899047745E-22
671,1.5434429664102949E-21,6.0843462306979079E-22
672,1.5471008280760896E-21,6.0974633748335913E-22
673,1.5495880541867891E-21,6.1134974897457001E-22
674,1.5520747684288433E-21,6.1266045518655649E-22
675,1.5542684382103506E-21,6.1397066175192066E-22
676,1.5564616001684097E-21,6.1557257863815553E-22
677,1.5589467962793613E-21,6.1746621267151988E-22
678,1.5614314939956731E-21,6.1848273402451668E-22
679,1.5636231551526682E-21,6.1891434726483073E-22
680,1.5646441519192815E-21,6.199298927934303E-22
681,1.5656646489704076E-21,6.2123716758928805E-22
682,1.5666846495638755E-21,6.2225175270420028E-22
683,1.5668265235432658E-21,6.229736485509363E-22
684,1.5657977258665254E-21,6.2340285594041474E-22
685,1.5659386137880305E-21,6.2383159049901175E-22
686,1.56783428717447E-21,6.2425985529022283E-22
687,1.5703145802013666E-21,6.2410322216918539E-22
688,1.5713316650965289E-21,6.2482277142884078E-22
689,1.5708855329659225E-21,6.2437299457920054E-22
690,1.5704389246636075E-21,6.2275389211864136E-22
691,1.5711620386589687E-21,6.2113433297045021E-22
692,1.5715921363048631E-21,6.2039096688608246E-22
693,1.5711441190657228E-21,6.1906271771228097E-22
694,1.5695254387169641E-21,6.1744180479245079E-22
695,1.5681988470712074E-21,6.158204468920172E-22
696,1.5665792482425049E-21,6.1449086149933452E-22
697,1.5649591947587701E-21,6.125764076230843E-22
698,1.5633386895453042E-21,6.1095373193806612E-22
699,1.5608400917829996E-21,6.0933062263976728E-22
700,1.5577559572140245E-21,6.0712265653331902E-22
701,1.5549639317084364E-21,6.04329840178458E-22
702,1.5515863803181609E-21,6.0212102594581312E-22
703,1.546745681770144E-21,6.0020400188492088E-22
704,1.5421971121169373E-21,5.9857876921301104E-22
705,1.5376481292982746E-21,5.9666090934797947E-22
706,1.5322211206953301E-21,5.9445042646631677E-22
707,1.52620864239661E-21,5.9194732514502612E-22
708,1.5201957778585016E-21,5.9002823383288713E-22
709,1.5138899981215797E-21,5.884009443805533E-22
710,1.5064137255691462E-21,5.8648104369364327E-22
711,1.4989370998583687E-21,5.8514515599763617E-22
712,1.4926302180497738E-21,5.8351666219105889E-22
713,1.4854454042444721E-21,5.8130335997655439E-22
714,1.4765051314517894E-21,5.7821305088939212E-22
715,1.4687346058170473E-21,5.7570676547382584E-22
716,1.4615487704546816E-21,5.7407670506135092E-22
717,1.4526075384125829E-21,5.7244625825802487E-22
718,1.4427884882571616E-21,5.7023102200857319E-22
719,1.4332616608284173E-21,5.6713880108693242E-22
720,1.4249045412584816E-21,5.6375400795363668E-22
721,1.4165471136188355E-21,5.6007664865933323E-22
722,1.4073119063061577E-21,5.5581453223801147E-22
723,1.3974914415308487E-21,5.5242864982099909E-22
724,1.3882556791744212E-21,5.4904240745283113E-22
725,1.3790196396611099E-21,5.4536361385279172E-22
726,1.3691983726567929E-21,5.4168446756657086E-22
727,1.3590843762093429E-21,5.3712839901081418E-22
728,1.3483851967254903E-21,5.3227980323401875E-22
729,1.3376857898022024E-21,5.2713868829587958E-22
730,1.3275710775458059E-21,5.2170506266870486E-22
731,1.3174561265524531E-21,5.1685548163964475E-22
732,1.3070484876227963E-21,5.1258993594259409E-22
733,1.296933070854559E-21,5.0773970175729968E-22
734,1.2865249794217269E-21,5.0201261639166101E-22
735,1.2752393501659983E-21,4.9686957321304315E-22
736,1.2642459637277003E-21,4.9143404497118833E-22
737,1.2532523792094492E-21,4.8570604050644515E-22
738,1.2425510248566454E-21,4.8085423934712391E-22
739,1.232434311847961E-21,4.7658645994381562E-22
740,1.2223173826854368E-21,4.7231836513408762E-22
741,1.210738173689008E-21,4.683421199480305E-22
742,1.1988663893906406E-21,4.6407339898631013E-22
743,1.1869944500157971E-21,4.5834357245530843E-22
744,1.1742451638019244E-21,4.5202914625530985E-22
745,1.1620805435482359E-21,4.4688306108308672E-22
746,1.1499157856973369E-21,4.4319744657955973E-22
747,1.1336575460098463E-21,4.3775861917929197E-22
748,1.1141832328162065E-21,4.2998232658483885E-22
749,1.0961709476644314E-21,4.2395866325640715E-22
750,1.0822518063449524E-21,4.2114830241081258E-22
751,1.0730102758637257E-21,4.197983504802949E-22
752,1.0652302939331428E-21,4.1786380187104645E-22
753,1.0548189316880712E-21,4.1417609521347224E-22
754,1.0403145976490226E-21,4.096116759505689E-22
755,1.0234715583444046E-21,4.0358628820641152E-22
756,1.0077979146948157E-21,3.9814491192822477E-22
757,9.944628763858713E-22,3.9416393443831802E-22
758,9.808354574286691E-22,3.8989054267693974E-22
759,9.6691567781861496E-22,3.8532474362806495E-22
760,9.5562660686202953E-22,3.8046654469678955E-22
761,9.4433740536440145E-22,3.7590020504116129E-22
762,9.3158659750506958E-22,3.7162572094369899E-22
763,9.1795884626837477E-22,3.6705884432905959E-22
764,9.055001920062933E-22,3.6190746241142102E-22
765,8.9421057268012395E-22,3.5763217997002633E-22
766,8.82044011530885E-22,3.5364874943774359E-22
767,8.6724695077737255E-22,3.4878870754443067E-22
768,8.5244991114171221E-22,3.4363629911562513E-22
769,8.3940642458726941E-22,3.3848364278612818E-22
770,8.2723964041463667E-22,3.3333074031158179E-22
771,8.1624175835881264E-22,3.278854873271875E-22
772,8.0641272334438568E-22,3.2243999613435361E-22
773,7.9570682865572853E-22,3.1787057340091238E-22
774,7.844163495021666E-22,3.1388510358662387E-22
775,7.7312577026048186E-22,3.0902308582116635E-22
776,7.6241953641509573E-22,3.0357663586061369E-22
777,7.5200540457577691E-22,2.9900623767975246E-22
778,7.4159115025612477E-22,2.9472769107795569E-22
779,7.3117677540801004E-22,2.9015681135971707E-22
780,7.2047007839952212E-22,2.8646196043743959E-22
