wavelength_nm,ordinary,extraordinary
545,2.2689617802991222E-20,2.1365655436855404E-20
546,2.3226174913082241E-20,2.1635078091169499E-20
547,2.3762760851947771E-20,2.217164311109677E-20
548,2.4299375318217217E-20,2.2441073716492043E-20
549,2.4836018013547943E-20,2.2977676122336597E-20
550,2.5372688642594469E-20,2.3247114560721929E-20
551,2.5909386912978485E-20,2.3516551960269234E-20
552,2.6446112535258852E-20,2.4053199965765345E-20
553,2.6982865222902234E-20,2.4322645094780805E-20
554,2.7519644692253646E-20,2.4592089229314881E-20
555,2.8056450662507576E-20,2.4861532399886378E-20
556,2.8593282855679457E-20,2.5130974636570226E-20
557,2.886282597609487E-20,2.5667684592256821E-20
558,2.939969193729491E-20,2.5937134477189069E-20
559,2.9936583471740061E-20,2.6206583468342197E-20
560,3.0206140711615759E-20,2.6476031594339719E-20
561,3.0743065154273023E-20,2.6478172833954595E-20
562,3.1012628596386503E-20,2.6747610074757717E-20
563,3.1549585468595682E-20,2.7017046580254617E-20
564,3.1819155016965053E-20,2.7286482377174825E-20
565,3.2088723211852892E-20,2.7555917491855596E-20
566,3.2625719406238761E-20,2.7558008725930255E-20
567,3.2895293628503431E-20,2.782743350350903E-20
568,3.3164866542988952E-20,2.8096857720934361E-20
569,3.3166983052868305E-20,2.8098919639242121E-20
570,3.3436544923980242E-20,2.8368333854699072E-20
571,3.3706105616230623E-20,2.8370376431463812E-20
572,3.39756651573311E-20,2.83724092080022E-20
573,3.3977742582962673E-20,2.8374432258557505E-20
574,3.3979810081652567E-20,2.8376445656688353E-20
575,3.3981867728338933E-20,2.8645822557582976E-20
576,3.3983915597271745E-20,2.8647817334640263E-20
577,3.4253436528147776E-20,2.8382428661991E-20
578,3.4255465499808241E-20,2.8384404172559702E-20
579,3.3990001269861076E-20,2.8386370388475942E-20
580,3.3992010756751848E-20,2.8388327379341786E-20
581,3.3726534279133376E-20,2.8122907820587185E-20
582,3.3728524571410991E-20,2.8124846113173927E-20
583,3.3463036170216577E-20,2.7859415571566838E-20
584,3.3197545729010277E-20,2.7861335443427735E-20
585,3.293205335281994E-20,2.7595894232885199E-20
586,3.2666559146175921E-20,2.733045186102518E-20
